,District_1,District_2
1009,south_garo_hills/Q2329228,south_west_khasi_hills/Q15923741
1010,south_west_khasi_hills/Q15923741,east_khasi_hills/Q1945304
1011,east_khasi_hills/Q1945304,ri bhoi/Q1884672
1012,churachandpur/Q2577281,kakching/Q28173825
1013,churachandpur/Q2577281,bishnupur/Q938190
1014,churachandpur/Q2577281,chandel/Q2301769
1015,bishnupur/Q938190,imphal_west/Q1822188
1016,chandel/Q2301769,tengnoupal/Q28419388
1017,noney/Q28419389,kangpokpi/Q28419386
1018,kakching/Q28173825,imphal_west/Q1822188
1019,kakching/Q28173825,thoubal/Q2086198
1020,imphal_east/Q1916666,imphal_west/Q1822188
1021,imphal_west/Q1822188,kangpokpi/Q28419386
1022,thoubal/Q2086198,tengnoupal/Q28419388
1023,kangpokpi/Q28419386,senapati/Q2301706
1024,kangpokpi/Q28419386,kamjong/Q28419390
1025,kangpokpi/Q28419386,ukhrul/Q735101
1026,senapati/Q2301706,phek/Q590882
1027,ukhrul/Q735101,kamjong/Q28419390
1028,phek/Q590882,zunheboto/Q2091461
1029,phek/Q590882,kiphire/Q2597908
1030,tengnoupal/Q28419388,kamjong/Q28419390
1031,zunheboto/Q2091461,kiphire/Q2597908
1032,kiphire/Q2597908,tuensang/Q2571393
1033,tuensang/Q2571393,noklak/Q48731903
1034,lawngtlai/Q2086209,lunglei/Q1947352
1035,lawngtlai/Q2086209,saiha/Q1821714
1036,lunglei/Q1947352,serchhip/Q2086190
1037,serchhip/Q2086190,aizawl/Q1947322
1038,champhai/Q1965256,aizawl/Q1947322
1039,south_24_parganas/Q2308319,kolkata/Q1348
1040,diu/Q631849,gir_somnath/Q15244465
1041,ferozepur/Q172385,sri_muktsar_sahib/Q1947359
1042,angul/Q1772807,boudh/Q2363639
1043,bametara/Q16254159,kabeerdham/Q2450255
1044,baramulla/Q1912057,budgam/Q2594218
1045,budgam/Q2594218,shopiyan/Q2073646
1046,boudh/Q2363639,subarnapur/Q1473957
1047,fatehgarh_sahib/Q172485,s.a.s._nagar/Q2037672
1048,pathanamthitta/Q634935,tirunelveli/Q15200
1049,purulia/Q307474,east_singhbhum/Q2452921
1050,jalore/Q1460832,banaskantha/Q806125
1051,lahaul_and_spiti/Q837595,leh/Q1921210
1052,sant_kabir_nagar/Q1945445,siddharthnagar/Q1815339
1053,maharajganj/Q1356139,west_champaran/Q100124
1054,nandurbar/Q1623525,narmada/Q1797230
1055,jhunjhunu/Q1471427,bhiwani/Q1852857
1056,ahmedabad/Q401686,anand/Q485683
1057,ahmedabad/Q401686,bhavnagar/Q854963
1058,ahmedabad/Q401686,gandhinagar/Q1772860
1059,ahmedabad/Q401686,kheda/Q1755463
1060,amreli/Q257946,junagadh/Q1797344
1061,anand/Q485683,vadodara/Q578285
1062,anantapur/Q15212,y.s.r._kadapa/Q15342
1063,anantapur/Q15212,tumakuru/Q1301635
1064,aravalli/Q12175285,sabarkantha/Q1772856
1065,ariyalur/Q15112,tiruchirappalli/Q15201
1066,ariyalur/Q15112,thanjavur/Q15194
1067,bagalkote/Q1910231,raichur/Q1430830
1068,bengaluru_urban/Q806463,ramanagara/Q427679
1069,bengaluru_rural/Q806464,kolar/Q2509866
1070,bharuch/Q854900,vadodara/Q578285
1071,bhavnagar/Q854963,botad/Q14505072
1072,botad/Q14505072,surendranagar/Q237535
1073,chamarajanagara/Q862912,mysuru/Q591781
1074,chamarajanagara/Q862912,mandya/Q2768290
1075,chennai/Q15116,kancheepuram/Q15157
1076,chhota_udaipur/Q5979243,vadodara/Q578285
1077,chhota_udaipur/Q5979243,panchmahal/Q1781463
1078,chikkaballapura/Q1072629,kolar/Q2509866
1079,banaskantha/Q806125,sabarkantha/Q1772856
1080,belagavi/Q815464,vijayapura/Q1722370
1081,chikkamagaluru/Q743077,shivamogga/Q2981389
1082,chitradurga/Q165264,tumakuru/Q1301635
1083,coimbatore/Q15136,erode/Q15155
1084,cuddalore/Q15150,puducherry/Q984035
1085,dahod/Q186518,panchmahal/Q1781463
1086,dang/Q1135616,tapi/Q670165
1087,davanagere/Q1863214,shivamogga/Q2981389
1088,devbhumi_dwarka/Q14594717,porbandar/Q1772815
1089,dharmapuri/Q15152,erode/Q15155
1090,dharwad/Q1790904,gadag/Q2353931
1091,dindigul/Q15154,madurai/Q15184
1092,east_champaran/Q49159,west_champaran/Q100124
1093,east_singhbhum/Q2452921,saraikela-kharsawan/Q2362658
1094,theni/Q15196,madurai/Q15184
1095,kheda/Q1755463,vadodara/Q578285
1096,karur/Q15182,erode/Q15155
1097,karur/Q15182,namakkal/Q15187
1098,bidar/Q1790568,kalaburagi/Q2641873
1099,erode/Q15155,nilgiris/Q15188
1100,gadag/Q2353931,haveri/Q765481
1101,gandhinagar/Q1772860,sabarkantha/Q1772856
1102,gir_somnath/Q15244465,junagadh/Q1797344
1103,hassan/Q956732,mysuru/Q591781
1104,haveri/Q765481,shivamogga/Q2981389
1105,jamnagar/Q2982118,morbi/Q5979727
1106,junagadh/Q1797344,porbandar/Q1772815
1107,kalaburagi/Q2641873,vijayapura/Q1722370
1108,kancheepuram/Q15157,tiruvannamalai/Q15207
1109,kannur/Q2980652,kasaragod/Q1419703
1110,kanyakumari/Q15158,tirunelveli/Q15200
1111,kargil/Q1650798,leh/Q1921210
1112,koppal/Q956387,raichur/Q1430830
1113,kutch/Q1063417,surendranagar/Q237535
1114,madurai/Q15184,sivaganga/Q15195
1115,mahisagar/Q5706885,panchmahal/Q1781463
1116,mandya/Q2768290,mysuru/Q591781
1117,mehsana/Q2019694,sabarkantha/Q1772856
1118,morbi/Q5979727,surendranagar/Q237535
